order_id,sku_id,store_id,platform,order_date,payment_amount,quantity,user_id,is_coupon_used,raw_import_time
ORD20250610000001,SKU0026,STORE001,Tmall,2025-06-10,141.58,1,USER00078,0,2026-01-05 05:02:44
ORD20251224000002,SKU0016,STORE006,PDD,2025-12-24,65.94,2,USER00092,0,2026-01-02 15:04:43
ORD20250711000003,SKU0048,STORE018,Tmall,2025-07-11,1687.91,4,USER00262,1,2026-01-09 19:29:12
ORD20250726000004,SKU0065,STORE016,Taobao,2025-07-26,554.60,1,USER00122,1,2026-01-03 20:33:46
ORD20250519000005,SKU0049,STORE001,JD,2025-05-19,472.05,1,USER00198,1,2026-01-09 22:26:21
ORD20250125000006,SKU0024,STORE008,Taobao,2025-01-25,689.29,1,USER00157,0,2026-01-05 00:12:05
ORD20250912000007,SKU0022,STORE019,PDD,2025-09-12,1382.53,2,USER00277,1,2026-01-05 06:55:03
ORD20251031000008,SKU0010,STORE008,Taobao,2025-10-31,1730.99,3,USER00032,0,2026-01-03 09:01:11
ORD20250616000009,SKU0022,STORE005,Tmall,2025-06-16,813.86,1,USER00287,0,2026-01-06 05:30:47
ORD20250120000010,SKU0024,STORE013,Taobao,2025-01-20,1113.16,2,USER00252,1,2026-01-07 03:30:07
ORD20250212000011,SKU0049,STORE006,Tmall,2025-02-12,1465.74,3,USER00043,0,2026-01-01 16:22:12
ORD20250413000012,SKU0062,STORE012,JD,2025-04-13,513.89,3,USER00246,1,2026-01-02 03:48:17
ORD20250927000013,SKU0016,STORE007,JD,2025-09-27,35.31,1,USER00274,0,2026-01-07 00:54:36
ORD20251015000014,SKU0060,STORE020,Tmall,2025-10-15,137.91,1,USER00231,1,2026-01-08 22:20:21
ORD20250125000015,SKU0045,STORE001,Taobao,2025-01-25,179.19,1,USER00117,1,2026-01-06 12:21:13
ORD20250227000016,SKU0018,STORE017,Douyin,2025-02-27,581.68,1,USER00079,1,2026-01-10 10:56:35
ORD20250120000017,SKU0080,STORE014,Douyin,2025-01-20,334.93,2,USER00070,0,2026-01-06 04:09:08
ORD20251215000018,SKU0039,STORE011,Douyin,2025-12-15,124.39,1,USER00286,1,2026-01-08 20:36:35
ORD20251115000019,SKU0010,STORE012,JD,2025-11-15,559.32,1,USER00290,0,2026-01-04 20:45:32
ORD20251002000020,SKU0051,STORE006,Tmall,2025-10-02,511.64,1,USER00030,1,2026-01-08 01:58:34
ORD20250727000021,SKU0058,STORE004,Tmall,2025-07-27,1264.03,3,USER00142,1,2026-01-02 00:18:40
ORD20250124000022,SKU0073,STORE003,PDD,2025-01-24,386.88,1,USER00183,1,2026-01-09 02:54:10
ORD20251115000023,SKU0012,STORE004,JD,2025-11-15,108.57,3,USER00292,0,2026-01-03 12:07:07
ORD20250413000024,SKU0052,STORE009,JD,2025-04-13,575.45,1,USER00004,0,2026-01-04 19:32:00
ORD20251003000025,SKU0045,STORE007,JD,2025-10-03,180.19,1,USER00085,1,2026-01-06 07:25:38
ORD20250326000026,SKU0009,STORE012,Douyin,2025-03-26,594.61,1,USER00291,0,2026-01-08 12:52:51
ORD20250720000027,SKU0067,STORE007,Taobao,2025-07-20,403.47,1,USER00096,0,2026-01-07 22:16:17
ORD20251211000028,SKU0031,STORE006,JD,2025-12-11,352.79,1,USER00152,0,2026-01-05 08:58:51
ORD20250930000029,SKU0019,STORE010,JD,2025-09-30,274.31,1,USER00103,0,2026-01-10 03:44:55
ORD20250319000030,SKU0053,STORE002,PDD,2025-03-19,915.49,1,USER00142,0,2026-01-10 23:04:22
ORD20250220000031,SKU0014,STORE014,Taobao,2025-02-20,149.58,1,USER00201,1,2026-01-06 05:17:45
ORD20250624000032,SKU0017,STORE015,Tmall,2025-06-24,825.99,2,USER00101,0,2026-01-10 20:21:36
ORD20251025000033,SKU0068,STORE005,WeChat,2025-10-25,423.63,2,USER00085,0,2026-01-06 23:57:12
ORD20250723000034,SKU0037,STORE017,JD,2025-07-23,1340.99,3,USER00130,0,2026-01-02 03:15:05
ORD20250320000035,SKU0079,STORE005,PDD,2025-03-20,111.10,4,USER00096,1,2026-01-07 03:05:21
ORD20250305000036,SKU0039,STORE009,Tmall,2025-03-05,235.25,2,USER00075,1,2026-01-08 15:02:50
ORD20250720000037,SKU0037,STORE001,JD,2025-07-20,383.89,1,USER00146,1,2026-01-09 10:54:15
ORD20250427000038,SKU0048,STORE009,JD,2025-04-27,1532.18,3,USER00263,0,2026-01-05 10:19:13
ORD20251215000039,SKU0027,STORE003,Taobao,2025-12-15,1142.16,2,USER00266,0,2026-01-10 17:42:34
ORD20251005000040,SKU0038,STORE009,Taobao,2025-10-05,368.48,1,USER00009,1,2026-01-07 17:01:01
ORD20251204000041,SKU0038,STORE009,Taobao,2025-12-04,487.87,1,USER00147,0,2026-01-01 23:33:33
ORD20250608000042,SKU0043,STORE016,Tmall,2025-06-08,374.83,1,USER00298,0,2026-01-01 14:11:25
ORD20250108000043,SKU0061,STORE020,JD,2025-01-08,285.20,4,USER00241,1,2026-01-10 07:03:48
ORD20251122000044,SKU0017,STORE017,Douyin,2025-11-22,391.74,1,USER00240,0,2026-01-10 16:48:02
ORD20250716000045,SKU0050,STORE009,PDD,2025-07-16,1805.99,3,USER00084,1,2026-01-04 01:11:43
ORD20250705000046,SKU0008,STORE007,JD,2025-07-05,1239.96,3,USER00104,0,2026-01-07 10:39:50
ORD20250427000047,SKU0044,STORE020,PDD,2025-04-27,172.52,1,USER00239,0,2026-01-03 18:54:02
ORD20251206000048,SKU0049,STORE009,Taobao,2025-12-06,524.08,1,USER00033,0,2026-01-01 19:32:28
ORD20251119000049,SKU0060,STORE005,Taobao,2025-11-19,151.04,1,USER00112,0,2026-01-02 00:01:25
ORD20250731000050,SKU0015,STORE008,JD,2025-07-31,190.54,1,USER00107,1,2026-01-05 07:01:11
ORD20251012000051,SKU0072,STORE017,PDD,2025-10-12,1729.62,3,USER00109,0,2026-01-01 02:51:14
